code,country,medal,quantity
GBR,Great Britain,silver,13
KOR,Republic of Korea,silver,8
JPN,Japan,silver,5
ITA,Italy,silver,10
GER,Germany,silver,5
NED,Netherlands,silver,6
CAN,Canada,silver,4
NZL,New Zealand,silver,5
HUN,Hungary,silver,3
SWE,Sweden,silver,3
ROU,Romania,silver,3
IRL,Ireland,silver,0
BRA,Brazil,silver,4
UKR,Ukraine,silver,2
CRO,Croatia,silver,1
BEL,Belgium,silver,0
HKG,"Hong Kong, China",silver,0
AZE,Azerbaijan,silver,0
PHI,Philippines,silver,0
SRB,Serbia,silver,0
ISR,Israel,silver,4
ESP,Spain,silver,3
GEO,Georgia,silver,2
SUI,Switzerland,silver,1
KAZ,Kazakhstan,silver,1
RSA,South Africa,silver,1
DEN,Denmark,silver,1
TPE,Chinese Taipei,silver,0
UZB,Uzbekistan,silver,0
CZE,Czechia,silver,0
GUA,Guatemala,silver,0
KEN,Kenya,silver,0
ALG,Algeria,silver,0
ARG,Argentina,silver,0
CHI,Chile,silver,0
DMA,Dominica,silver,0
ECU,Ecuador,silver,0
LCA,Saint Lucia,silver,0
NOR,Norway,silver,0
SLO,Slovenia,silver,0
UGA,Uganda,silver,0
JAM,Jamaica,silver,2
MEX,Mexico,silver,2
PRK,Democratic People's Republic of Korea,silver,2
ETH,Ethiopia,silver,2
GRE,Greece,silver,1
POL,Poland,silver,1
KOS,Kosovo,silver,1
TUR,Türkiye,silver,1
ARM,Armenia,silver,1
COL,Colombia,silver,1
FIJ,Fiji,silver,1
MGL,Mongolia,silver,1
THA,Thailand,silver,1
TUN,Tunisia,silver,1
IND,India,silver,0
TJK,Tajikistan,silver,0
DOM,Dominican Republic,silver,0
LTU,Lithuania,silver,0
MAS,Malaysia,silver,0
MDA,Republic of Moldova,silver,0
AUT,Austria,silver,0
CPV,Cabo Verde,silver,0
CUB,Cuba,silver,0
EGY,Egypt,silver,0
GRN,Grenada,silver,0
INA,Indonesia,silver,0
POR,Portugal,silver,0
SVK,Slovakia,silver,0
CHN,People's Republic of China,bronze,14
USA,United States of America,bronze,28
AUS,Australia,bronze,8
FRA,France,bronze,18
GBR,Great Britain,bronze,17
KOR,Republic of Korea,bronze,7
JPN,Japan,bronze,11
ITA,Italy,bronze,7
GER,Germany,bronze,4
NED,Netherlands,bronze,4
CAN,Canada,bronze,8
NZL,New Zealand,bronze,1
HUN,Hungary,bronze,2
SWE,Sweden,bronze,2
ROU,Romania,bronze,1
IRL,Ireland,bronze,3
BRA,Brazil,bronze,5
UKR,Ukraine,bronze,3
CRO,Croatia,bronze,2
BEL,Belgium,bronze,3
HKG,"Hong Kong, China",bronze,2
AZE,Azerbaijan,bronze,0
PHI,Philippines,bronze,0
SRB,Serbia,bronze,0
ISR,Israel,bronze,1
ESP,Spain,bronze,5
GEO,Georgia,bronze,1
SUI,Switzerland,bronze,4
KAZ,Kazakhstan,bronze,2
RSA,South Africa,bronze,2
DEN,Denmark,bronze,0
TPE,Chinese Taipei,bronze,3
UZB,Uzbekistan,bronze,2
CZE,Czechia,bronze,1
GUA,Guatemala,bronze,1
KEN,Kenya,bronze,1
ALG,Algeria,bronze,0
ARG,Argentina,bronze,0
CHI,Chile,bronze,0
DMA,Dominica,bronze,0
ECU,Ecuador,bronze,0
LCA,Saint Lucia,bronze,0
NOR,Norway,bronze,0
SLO,Slovenia,bronze,0
UGA,Uganda,bronze,0
JAM,Jamaica,bronze,1
MEX,Mexico,bronze,1
PRK,Democratic People's Republic of Korea,bronze,1
ETH,Ethiopia,bronze,0
GRE,Greece,bronze,5
POL,Poland,bronze,3
KOS,Kosovo,bronze,1
TUR,Türkiye,bronze,1
ARM,Armenia,bronze,0
COL,Colombia,bronze,0
FIJ,Fiji,bronze,0
MGL,Mongolia,bronze,0
THA,Thailand,bronze,0
TUN,Tunisia,bronze,0
IND,India,bronze,3
TJK,Tajikistan,bronze,3
DOM,Dominican Republic,bronze,2
LTU,Lithuania,bronze,2
MAS,Malaysia,bronze,2
MDA,Republic of Moldova,bronze,2
AUT,Austria,bronze,1
CPV,Cabo Verde,bronze,1
CUB,Cuba,bronze,1
EGY,Egypt,bronze,1
GRN,Grenada,bronze,1
INA,Indonesia,bronze,1
POR,Portugal,bronze,1
SVK,Slovakia,bronze,1
